"#Table S1. Description of the data included in MATEdb. Phylum, Subphylum, Class, Subclass, Superorder, Order, Family, Genus and Species_or_Subspecies correspond to those taxonomic levels using the information from NCBI Taxonomy and curating it when required. NCBI_Taxonomy_ID stands for NCBI's Taxonomy ID. Code corresponds to a four letter plus one number code used for each dataset. The same four letters are used when a specie comprises more than one dataset and the number is changed. Genome_or_Transcriptome for whether the data corresponds to a genome or a transcriptome, Sequencing_Technology to describe the sequencing technology used to generate te data. Database corresponds to the source of the raw data and Accession_Number refers to the accession number in the aforementioned database. Reference contains the publication where the generation of the data is described. Alternative_repository refers to any other source with additional information for that given dataset. BUSCO_Database refers to the database used to quantify completeness metrics. Trinity_C_plus_F Trinity_C Trinity_S Trinity_D Trinity_F Trinity_M each refer to the complete plus fragmented genes, complete, single copy, duplicated, fragmented an missing genes as determined by BUSCO in the assemblies produced by Trinity. Filtered_C_plus_F Filtered_C Filtered_S Filtered_D Filtered_F Filtered_M refer to the aforementioned parameters after filtering the data using BlobTools. Protein_Number refers to the number of proteins identified by TransDecoder, C_plus_F C S D F M refere to the same parameters previously described as part of BUSCO's output and Eggnog refers the the number of proteins whose annotation was possible using eggNOG-mapper. Fields # contigs (>= 0 bp), # contigs (>= 1000 bp), # contigs (>= 5000 bp), # contigs (>= 10000 bp), # contigs (>= 25000 bp), # contigs (>= 50000 bp), Total length (>= 0 bp), Total length (>= 1000 bp), Total length (>= 5000 bp), Total length (>= 10000 bp), Total length (>= 25000 bp), Total length (>= 50000 bp), # contigs, Largest contig, Total length, GC (%), N50, N75, L50, L75 and # N's per 100 kbp describe the basic statistics calculated using QUAST for all the genomic datasets in the database. The fields # Transcripts and # Longest isoforms are calculated for the transcriptomes in the database."																																																												
																																																												
Phylum	Subphylum	Class	Subclass	Superorder	Order	Family	Genus	Species_or_Subspecies	NCBI_Taxonomy_ID	Code	Genome_or_Transcriptome	Sequencing_Technology	Database	Accession_Number	Reference	Alternative_repository	BUSCO_Database	Trinity_C_plus_F	Trinity_C	Trinity_S	Trinity_D	Trinity_F	Trinity_M	Filtered_C_plus_F	Filtered_C	Filtered_S	Filtered_D	Filtered_F	Filtered_M	Protein_Number	C_plus_F	C	S	D	F	M	Eggnog	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp	# Transcripts	# Longest isoforms
Arthropoda	Chelicerata	Arachnida	-	-	Amblypygi	Charinidae	Charinus	Charinus ioanniticus	1938788	CIOA1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR12389128			arthropoda_odb10	88.6	77.6	54.8	22.8	11	11.4	90.8	79	57.5	21.5	11.8	9.2	19085	89.3	77.4	74.7	2.7	11.9	10.7	14225	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	112238	19085
Arthropoda	Chelicerata	Arachnida	-	-	Amblypygi	Charinidae	Charinus	Charinus israelensis	2760776	CISR1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR12389135			arthropoda_odb10	95.7	93.9	54.9	39	1.8	4.3	98.5	96.6	58.9	37.7	1.9	1.5	22921	95.8	93.8	90	3.8	2	4.2	14851	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	244530	22921
Arthropoda	Chelicerata	Arachnida	-	-	Amblypygi	Phrynichidae	Damon	Damon sp. Maynooth	2508655	DAMO1	Transcriptome	Illumina HiSeq 2000	NCBI SRA	SRR8745909			arthropoda_odb10	89.4	84.2	66.8	17.4	5.2	10.6	93	87.1	70.1	17	5.9	7	16896	92.2	86.2	83	3.2	6	7.8	13209	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	66195	16896
Arthropoda	Chelicerata	Arachnida	-	-	Amblypygi	Phrynidae	Phrynus	Phrynus marginemaculatus	118542	PMAR1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR12232018			arthropoda_odb10	96.7	95.6	51.4	44.2	1.1	3.3	99.6	98.2	56.8	41.4	1.4	0.4	27352	95.9	94.5	90.2	4.3	1.4	4.1	16386	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	530320	27352
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Anapidae	Novanapis	Novanapis sp. RK-2018	2080923	NOVA1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR6998663			arthropoda_odb10	91.3	83	45.6	37.4	8.3	8.7	92.6	82.2	44.8	37.4	10.4	7.4	23891	87.2	76.3	74.8	1.5	10.9	12.8	15773	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	297124	23891
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Araneidae	Argiope	Argiope bruennichi	94029	ABRU1	Genome	Illumina; PacBio Sequel	NCBI Genome	GCA_015342795.1			arthropoda_odb10	-	-	-	-	-	-	-	-	-	-	-	-	23259	94.4	87.1	83.6	3.5	7.3	5.6	15360	2231	2231	1956	828	174	46	1670285661	1670285661	1669063176	1661049743	1651300897	1647037910	2231	143171375	1670285661	29.33	124235998	122819445	7	10	69.99	-	-
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Araneidae	Neoscona	Neoscona arabesca	336594	NARA1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR1145741			arthropoda_odb10	87.9	74.2	56	18.2	13.7	12.1	90.7	75.7	57.7	18	15	9.3	17764	87	71.9	70.3	1.6	15.1	13	13826	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	109883	17764
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Atypidae	Sphodros	Sphodros rufipes	1203468	SRUF1	Transcriptome	Illumina HiSeq 2000	NCBI SRA	SRR1514908			arthropoda_odb10	93.6	91.4	75.7	15.7	2.2	6.4	97	93.7	78.2	15.5	3.3	3	13254	96.3	92.8	90.7	2.1	3.5	3.7	11020	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	44181	13254
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Deinopidae	Menneus	Menneus sp. RK-2018	2080916	MENN1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR6997878			arthropoda_odb10	85.4	63.5	38	25.5	21.9	14.6	86	63.3	38.6	24.7	22.7	14	18694	81.6	59	57.7	1.3	22.6	18.4	13945	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	279741	18694
Arthropoda	Chelicerata	Arachnida	-	-	Araneae	Desidae	Paramatachia	Paramatachia sp. RK-2018	2080958	PARA1	Transcriptome	Illumina HiSeq 2500	NCBI SRA	SRR6998654			arthropoda_odb10	84.3	63.2	39.5	23.7	21.1	15.7	88	65.3	40.6	24.7	22.7	12	22221	83.7	61.1	59.7	1.4	22.6	16.3	16336	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	324341	22221
